Statistic,Month,Product,UNIT,VALUE
Production of Dairy Products,1991M04,Butter,000 Tonnes,17.1
Production of Dairy Products,1991M05,Butter,000 Tonnes,22.8
Production of Dairy Products,1991M06,Butter,000 Tonnes,18.8
Production of Dairy Products,1991M07,Butter,000 Tonnes,19.1
Production of Dairy Products,1991M08,Butter,000 Tonnes,14.7
Production of Dairy Products,1991M09,Butter,000 Tonnes,10.9
Production of Dairy Products,1991M10,Butter,000 Tonnes,9.1
Production of Dairy Products,1991M11,Butter,000 Tonnes,4
Production of Dairy Products,1991M12,Butter,000 Tonnes,3
Production of Dairy Products,1992M01,Butter,000 Tonnes,3.9
Production of Dairy Products,1992M02,Butter,000 Tonnes,5.8
Production of Dairy Products,1992M03,Butter,000 Tonnes,10.4
Production of Dairy Products,1992M04,Butter,000 Tonnes,15
Production of Dairy Products,1992M05,Butter,000 Tonnes,16.5
Production of Dairy Products,1992M06,Butter,000 Tonnes,17.7
Production of Dairy Products,1992M07,Butter,000 Tonnes,16.9
Production of Dairy Products,1992M08,Butter,000 Tonnes,14.8
Production of Dairy Products,1992M09,Butter,000 Tonnes,12.5
Production of Dairy Products,1992M10,Butter,000 Tonnes,10.2
Production of Dairy Products,1992M11,Butter,000 Tonnes,5.3
Production of Dairy Products,1992M12,Butter,000 Tonnes,4.5
Production of Dairy Products,1993M01,Butter,000 Tonnes,3
Production of Dairy Products,1993M02,Butter,000 Tonnes,4.7
Production of Dairy Products,1993M03,Butter,000 Tonnes,10.9
Production of Dairy Products,1993M04,Butter,000 Tonnes,13.5
Production of Dairy Products,1993M05,Butter,000 Tonnes,16.5
Production of Dairy Products,1993M06,Butter,000 Tonnes,17.5
Production of Dairy Products,1993M07,Butter,000 Tonnes,16.4
Production of Dairy Products,1993M08,Butter,000 Tonnes,14.4
Production of Dairy Products,1993M09,Butter,000 Tonnes,11.8
Production of Dairy Products,1993M10,Butter,000 Tonnes,9.2
Production of Dairy Products,1993M11,Butter,000 Tonnes,6
Production of Dairy Products,1993M12,Butter,000 Tonnes,3.8
Production of Dairy Products,1994M01,Butter,000 Tonnes,3
Production of Dairy Products,1994M02,Butter,000 Tonnes,4.4
Production of Dairy Products,1994M03,Butter,000 Tonnes,9.6
Production of Dairy Products,1994M04,Butter,000 Tonnes,13
Production of Dairy Products,1994M05,Butter,000 Tonnes,17.7
Production of Dairy Products,1994M06,Butter,000 Tonnes,17.7
Production of Dairy Products,1994M07,Butter,000 Tonnes,17
Production of Dairy Products,1994M08,Butter,000 Tonnes,15.5
Production of Dairy Products,1994M09,Butter,000 Tonnes,11.1
Production of Dairy Products,1994M10,Butter,000 Tonnes,8.5
Production of Dairy Products,1994M11,Butter,000 Tonnes,6
Production of Dairy Products,1994M12,Butter,000 Tonnes,3.5
Production of Dairy Products,1995M01,Butter,000 Tonnes,3.3
Production of Dairy Products,1995M02,Butter,000 Tonnes,4.4
Production of Dairy Products,1995M03,Butter,000 Tonnes,10
Production of Dairy Products,1995M04,Butter,000 Tonnes,14.5
Production of Dairy Products,1995M05,Butter,000 Tonnes,20.8
Production of Dairy Products,1995M06,Butter,000 Tonnes,20
Production of Dairy Products,1995M07,Butter,000 Tonnes,17
Production of Dairy Products,1995M08,Butter,000 Tonnes,17.3
Production of Dairy Products,1995M09,Butter,000 Tonnes,11.5
Production of Dairy Products,1995M10,Butter,000 Tonnes,11.9
Production of Dairy Products,1995M11,Butter,000 Tonnes,7.7
Production of Dairy Products,1995M12,Butter,000 Tonnes,4
Production of Dairy Products,1996M01,Butter,000 Tonnes,3.6
Production of Dairy Products,1996M02,Butter,000 Tonnes,5.4
Production of Dairy Products,1996M03,Butter,000 Tonnes,9.9
Production of Dairy Products,1996M04,Butter,000 Tonnes,16.6
Production of Dairy Products,1996M05,Butter,000 Tonnes,21.2
Production of Dairy Products,1996M06,Butter,000 Tonnes,18.7
Production of Dairy Products,1996M07,Butter,000 Tonnes,19.7
Production of Dairy Products,1996M08,Butter,000 Tonnes,17.4
Production of Dairy Products,1996M09,Butter,000 Tonnes,12.7
Production of Dairy Products,1996M10,Butter,000 Tonnes,9.7
Production of Dairy Products,1996M11,Butter,000 Tonnes,4.4
Production of Dairy Products,1996M12,Butter,000 Tonnes,2.4
Production of Dairy Products,1997M01,Butter,000 Tonnes,2
Production of Dairy Products,1997M02,Butter,000 Tonnes,3.5
Production of Dairy Products,1997M03,Butter,000 Tonnes,9.3
Production of Dairy Products,1997M04,Butter,000 Tonnes,16.8
Production of Dairy Products,1997M05,Butter,000 Tonnes,20.1
Production of Dairy Products,1997M06,Butter,000 Tonnes,19
Production of Dairy Products,1997M07,Butter,000 Tonnes,18.9
Production of Dairy Products,1997M08,Butter,000 Tonnes,15.9
Production of Dairy Products,1997M09,Butter,000 Tonnes,13.9
Production of Dairy Products,1997M10,Butter,000 Tonnes,11.1
Production of Dairy Products,1997M11,Butter,000 Tonnes,5.2
Production of Dairy Products,1997M12,Butter,000 Tonnes,3
Production of Dairy Products,1998M01,Butter,000 Tonnes,2.5
Production of Dairy Products,1998M02,Butter,000 Tonnes,3.7
Production of Dairy Products,1998M03,Butter,000 Tonnes,8.7
Production of Dairy Products,1998M04,Butter,000 Tonnes,14.7
Production of Dairy Products,1998M05,Butter,000 Tonnes,16.3
Production of Dairy Products,1998M06,Butter,000 Tonnes,18.4
Production of Dairy Products,1998M07,Butter,000 Tonnes,18
Production of Dairy Products,1998M08,Butter,000 Tonnes,16.2
Production of Dairy Products,1998M09,Butter,000 Tonnes,13.7
Production of Dairy Products,1998M10,Butter,000 Tonnes,10.4
Production of Dairy Products,1998M11,Butter,000 Tonnes,4.8
Production of Dairy Products,1998M12,Butter,000 Tonnes,3.8
Production of Dairy Products,1999M01,Butter,000 Tonnes,2.5
Production of Dairy Products,1999M02,Butter,000 Tonnes,3.6
Production of Dairy Products,1999M03,Butter,000 Tonnes,10.7
Production of Dairy Products,1999M04,Butter,000 Tonnes,15.1
Production of Dairy Products,1999M05,Butter,000 Tonnes,18.4
Production of Dairy Products,1999M06,Butter,000 Tonnes,17.8
Production of Dairy Products,1999M07,Butter,000 Tonnes,17.4
Production of Dairy Products,1999M08,Butter,000 Tonnes,15.5
