Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1992M11,Muriate of Potash (50% K),Euro per Tonne,192
Fertiliser Price,1992M12,Muriate of Potash (50% K),Euro per Tonne,190
Fertiliser Price,1993M01,Muriate of Potash (50% K),Euro per Tonne,190
Fertiliser Price,1993M02,Muriate of Potash (50% K),Euro per Tonne,192
Fertiliser Price,1993M03,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1993M04,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1993M05,Muriate of Potash (50% K),Euro per Tonne,186
Fertiliser Price,1993M06,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1993M07,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1993M08,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1993M09,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1993M10,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1993M11,Muriate of Potash (50% K),Euro per Tonne,186
Fertiliser Price,1993M12,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1994M01,Muriate of Potash (50% K),Euro per Tonne,196
Fertiliser Price,1994M02,Muriate of Potash (50% K),Euro per Tonne,197
Fertiliser Price,1994M03,Muriate of Potash (50% K),Euro per Tonne,195
Fertiliser Price,1994M04,Muriate of Potash (50% K),Euro per Tonne,195
Fertiliser Price,1994M05,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1994M06,Muriate of Potash (50% K),Euro per Tonne,194
Fertiliser Price,1994M07,Muriate of Potash (50% K),Euro per Tonne,193
Fertiliser Price,1994M08,Muriate of Potash (50% K),Euro per Tonne,195
Fertiliser Price,1994M09,Muriate of Potash (50% K),Euro per Tonne,195
Fertiliser Price,1994M10,Muriate of Potash (50% K),Euro per Tonne,193
Fertiliser Price,1994M11,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1994M12,Muriate of Potash (50% K),Euro per Tonne,200
Fertiliser Price,1995M01,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1995M02,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1995M03,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1995M04,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1995M05,Muriate of Potash (50% K),Euro per Tonne,206
Fertiliser Price,1995M06,Muriate of Potash (50% K),Euro per Tonne,205
Fertiliser Price,1995M07,Muriate of Potash (50% K),Euro per Tonne,205
Fertiliser Price,1995M08,Muriate of Potash (50% K),Euro per Tonne,207
Fertiliser Price,1995M09,Muriate of Potash (50% K),Euro per Tonne,199
Fertiliser Price,1995M10,Muriate of Potash (50% K),Euro per Tonne,207
Fertiliser Price,1995M11,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1995M12,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1996M01,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1996M02,Muriate of Potash (50% K),Euro per Tonne,
Fertiliser Price,1996M03,Muriate of Potash (50% K),Euro per Tonne,
