Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1998M11,Urea (46% N),Euro per Tonne,190
Fertiliser Price,1998M12,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1999M01,Urea (46% N),Euro per Tonne,191
Fertiliser Price,1999M02,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1999M03,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1999M04,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1999M05,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1999M06,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1999M07,Urea (46% N),Euro per Tonne,189
Fertiliser Price,1999M08,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1999M09,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1999M10,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1999M11,Urea (46% N),Euro per Tonne,188
Fertiliser Price,1999M12,Urea (46% N),Euro per Tonne,189
Fertiliser Price,2000M01,Urea (46% N),Euro per Tonne,196
Fertiliser Price,2000M02,Urea (46% N),Euro per Tonne,198
Fertiliser Price,2000M03,Urea (46% N),Euro per Tonne,198
Fertiliser Price,2000M04,Urea (46% N),Euro per Tonne,200
Fertiliser Price,2000M05,Urea (46% N),Euro per Tonne,203
Fertiliser Price,2000M06,Urea (46% N),Euro per Tonne,204
Fertiliser Price,2000M07,Urea (46% N),Euro per Tonne,204
Fertiliser Price,2000M08,Urea (46% N),Euro per Tonne,204
Fertiliser Price,2000M09,Urea (46% N),Euro per Tonne,205
Fertiliser Price,2000M10,Urea (46% N),Euro per Tonne,212
Fertiliser Price,2000M11,Urea (46% N),Euro per Tonne,222
Fertiliser Price,2000M12,Urea (46% N),Euro per Tonne,230
Fertiliser Price,2001M01,Urea (46% N),Euro per Tonne,234
Fertiliser Price,2001M02,Urea (46% N),Euro per Tonne,240
Fertiliser Price,2001M03,Urea (46% N),Euro per Tonne,241
Fertiliser Price,2001M04,Urea (46% N),Euro per Tonne,241
Fertiliser Price,2001M05,Urea (46% N),Euro per Tonne,241
Fertiliser Price,2001M06,Urea (46% N),Euro per Tonne,237
Fertiliser Price,2001M07,Urea (46% N),Euro per Tonne,237
Fertiliser Price,2001M08,Urea (46% N),Euro per Tonne,236
