Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1987M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,129
Fertiliser Price,1987M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,134
Fertiliser Price,1987M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,135
Fertiliser Price,1988M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,136
Fertiliser Price,1988M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,136
Fertiliser Price,1988M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,136
Fertiliser Price,1988M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1988M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
Fertiliser Price,1988M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,136
Fertiliser Price,1988M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,135
Fertiliser Price,1988M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,133
Fertiliser Price,1988M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,133
Fertiliser Price,1988M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,135
Fertiliser Price,1988M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,140
Fertiliser Price,1988M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1989M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1989M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1989M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1989M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1989M05,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,146
Fertiliser Price,1989M06,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
Fertiliser Price,1989M07,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1989M08,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1989M09,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
Fertiliser Price,1989M10,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
Fertiliser Price,1989M11,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
Fertiliser Price,1989M12,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1990M01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1990M02,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
Fertiliser Price,1990M03,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
Fertiliser Price,1990M04,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,144
