Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,1994M11,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1994M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1995M01,Granular Superphosphate (16% P),Euro per Tonne,245
Fertiliser Price,1995M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1995M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1995M04,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1995M05,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1995M06,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1995M07,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1995M08,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1995M09,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1995M10,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1995M11,Granular Superphosphate (16% P),Euro per Tonne,248
Fertiliser Price,1995M12,Granular Superphosphate (16% P),Euro per Tonne,253
Fertiliser Price,1996M01,Granular Superphosphate (16% P),Euro per Tonne,255
Fertiliser Price,1996M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1996M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1996M04,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1996M05,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1996M06,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1996M07,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1996M08,Granular Superphosphate (16% P),Euro per Tonne,259
Fertiliser Price,1996M09,Granular Superphosphate (16% P),Euro per Tonne,259
Fertiliser Price,1996M10,Granular Superphosphate (16% P),Euro per Tonne,259
Fertiliser Price,1996M11,Granular Superphosphate (16% P),Euro per Tonne,259
Fertiliser Price,1996M12,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1997M01,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1997M02,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1997M03,Granular Superphosphate (16% P),Euro per Tonne,
Fertiliser Price,1997M04,Granular Superphosphate (16% P),Euro per Tonne,253
Fertiliser Price,1997M05,Granular Superphosphate (16% P),Euro per Tonne,254
Fertiliser Price,1997M06,Granular Superphosphate (16% P),Euro per Tonne,253
Fertiliser Price,1997M07,Granular Superphosphate (16% P),Euro per Tonne,253
Fertiliser Price,1997M08,Granular Superphosphate (16% P),Euro per Tonne,253
Fertiliser Price,1997M09,Granular Superphosphate (16% P),Euro per Tonne,253
Fertiliser Price,1997M10,Granular Superphosphate (16% P),Euro per Tonne,253
Fertiliser Price,1997M11,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1997M12,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1998M01,Granular Superphosphate (16% P),Euro per Tonne,256
Fertiliser Price,1998M02,Granular Superphosphate (16% P),Euro per Tonne,253
Fertiliser Price,1998M03,Granular Superphosphate (16% P),Euro per Tonne,253
Fertiliser Price,1998M04,Granular Superphosphate (16% P),Euro per Tonne,252
Fertiliser Price,1998M05,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1998M06,Granular Superphosphate (16% P),Euro per Tonne,250
Fertiliser Price,1998M07,Granular Superphosphate (16% P),Euro per Tonne,251
Fertiliser Price,1998M08,Granular Superphosphate (16% P),Euro per Tonne,252
Fertiliser Price,1998M09,Granular Superphosphate (16% P),Euro per Tonne,251
Fertiliser Price,1998M10,Granular Superphosphate (16% P),Euro per Tonne,252
Fertiliser Price,1998M11,Granular Superphosphate (16% P),Euro per Tonne,252
Fertiliser Price,1998M12,Granular Superphosphate (16% P),Euro per Tonne,252
Fertiliser Price,1999M01,Granular Superphosphate (16% P),Euro per Tonne,252
Fertiliser Price,1999M02,Granular Superphosphate (16% P),Euro per Tonne,262
Fertiliser Price,1999M03,Granular Superphosphate (16% P),Euro per Tonne,259
Fertiliser Price,1999M04,Granular Superphosphate (16% P),Euro per Tonne,264
Fertiliser Price,1999M05,Granular Superphosphate (16% P),Euro per Tonne,263
Fertiliser Price,1999M06,Granular Superphosphate (16% P),Euro per Tonne,263
Fertiliser Price,1999M07,Granular Superphosphate (16% P),Euro per Tonne,263
Fertiliser Price,1999M08,Granular Superphosphate (16% P),Euro per Tonne,263
Fertiliser Price,1999M09,Granular Superphosphate (16% P),Euro per Tonne,263
Fertiliser Price,1999M10,Granular Superphosphate (16% P),Euro per Tonne,262
Fertiliser Price,1999M11,Granular Superphosphate (16% P),Euro per Tonne,259
Fertiliser Price,1999M12,Granular Superphosphate (16% P),Euro per Tonne,259
Fertiliser Price,2000M01,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2000M02,Granular Superphosphate (16% P),Euro per Tonne,266
Fertiliser Price,2000M03,Granular Superphosphate (16% P),Euro per Tonne,267
Fertiliser Price,2000M04,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2000M05,Granular Superphosphate (16% P),Euro per Tonne,270
Fertiliser Price,2000M06,Granular Superphosphate (16% P),Euro per Tonne,271
Fertiliser Price,2000M07,Granular Superphosphate (16% P),Euro per Tonne,271
Fertiliser Price,2000M08,Granular Superphosphate (16% P),Euro per Tonne,271
Fertiliser Price,2000M09,Granular Superphosphate (16% P),Euro per Tonne,271
Fertiliser Price,2000M10,Granular Superphosphate (16% P),Euro per Tonne,273
