timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-05-11 21:45:56+00:00,"b""@backtolife_2022 Here in the Netherlands, all the restrictions are gone. There have been festivals and parties for a while. There in that stupid Canada they listen very well to that goofy Trudeau who here in Europe just shakes everybody's hands and walks around without a mouth cap but scares Cana""",b'PimB4',[],,15,0,0
2022-05-11 21:23:03+00:00,"b'@brilliantbusi It literally makes no sense unless every league has to follow the salary cap rule. It\'s not ""helping"" La Liga teams it\'s hurting them because we literally won\'t be able to compete in Europe in a few years if it continues.'",b'IMooWhenIPoo07',[],,60,0,8
2022-05-11 20:36:31+00:00,"b'@BernaBtnr @ErikTenHagPK he is exagerating extremist acts in Germany,bec he try to justify own position. As Turk \xc4\xb0 go everywhere in Europe, last week i rent a car in south spain, 2 months ago in france and been to several places not faced any discrimin,I wear moon/star cap.any1 can u/stand i am a Turk'",b'smk3390',[],Dü zce,98,0,2
2022-05-11 19:46:48+00:00,"b'@Antifatillidye @GordonDunsmuir @BrookingsFP @NicolaSturgeon @samanthaenergy Plus all the talk about a windfall tax will make no difference to us once the Tories get the money, the only way to help is to follow Europe and have a price cap.'",b'HendryMackenzie',[],Scotland ,3332,1,5
2022-05-11 19:06:53+00:00,"b'@btmholepressure @StreetBomber @SimpleJackCap With natty the Energy Security thesis (via Europe Russia gas dependence) and ""better than any other hydrocarbon"" thesis make it a pretty cool longer-term story.  Oil has the market cap and market mindshare, gas is quietly plugging away. Own exposure to both. I do.'",b'pickeringenergy',[],Houston,19795,0,1
2022-05-11 17:11:02+00:00,b'Look at Europe- all mkts up over 2 pct. Usa problems are of a diff kind as some results have been a big draw down. India is over reacting in my view specially in fear over mid n small cap',b'SMSHADABKALAM',[],India,395,0,1
2022-05-11 14:45:34+00:00,b'Our #nottinghamforest Champions of Europe #commemorative #cap is available at https://t.co/I6yHCmkEPL  \xc2\xa339.98 delivered  \xe2\xa0\x80 #football #memorabilia\xe2\xa0\x80 #sportingmemoriesmemorabilia \xe2\xa0\x80  #nffc #nottsforest #nottingham #forest #nffcfamily #cityground https://t.co/hTZT4BKYaW',b'SM_Memorabilia',"['nottinghamforest', 'commemorative', 'cap', 'football', 'memorabilia', 'sportingmemoriesmemorabilia', 'nffc', 'nottsforest', 'nottingham', 'forest', 'nffcfamily', 'cityground']","Glasgow, Scotland",376,0,0
2022-05-11 14:09:56+00:00,"b'$amrn.  450m market cap. With 390m cash, 500m inventory, 100m account receivable,   500m revenue in us,  plus approved in Europe for maybe 1B rev in 1year.   Should I buy ?  $xbi'",b'Skeleto47719550',[],,18,0,1
2022-05-11 13:58:48+00:00,b'#\xe2\x83\xa3SPOTLIGHT: We take a look at the discrepancies of the various salaries caps in the game in #Europe ... #Rugby \xf0\x9f\x8f\x89 #RugbyUnion\xf0\x9f\x8c\x90 @URCOfficial \xf0\x9f\x8f\x86 @ChampionsCup \xf0\x9f\x8f\x85 @premrugby \xe2\x99\xbb\xef\xb8\x8f @top14rugby \xe2\x9c\x85 \xf0\x9f\x94\x97https://t.co/bo71Y2c3Rn https://t.co/Q1aw4aU4Up',b'rugby365com',"['Europe', 'Rugby', 'RugbyUnion']",Following the oval ball!,35929,0,1
2022-05-11 13:47:31+00:00,b'Pax Lux Design HAT https://t.co/W0tO297zcZ #cap #fashion #summertime #sunshine #trend #shopping #fashionstyle #clothingstore #EUROVISION #Europe',b'lampadepaxlux',"['cap', 'fashion', 'summertime', 'sunshine', 'trend', 'shopping', 'fashionstyle', 'clothingstore', 'EUROVISION', 'Europe']","Padova, Veneto",223,0,0
2022-05-11 13:25:29+00:00,b'5000 cap venue for the whole of europe and then 600 tickets taken away for guest list - either this is fake news or harry is deluded',b'cherrybaby_H',[],cheshire,1677,0,6
2022-05-11 13:22:30+00:00,"b""@skisidjames The CAP, a system largely initiated by our 'friends' the French.  This was part of the post-war quid pro quo for to Germany to re-industrialise. In the words of the late Nicholas Ridley, 'This is all a German racket, designed to take over the whole of Europe.'""",b'GuideMeBiz',[],England and International,1319,4,5
2022-05-11 13:15:09+00:00,"b""Maybe because they own EDF? So profit from EDF's soaring prices in Europe allow them to cap fuel prices for their own citizens.  Although yes the Government can and should do more. https://t.co/zPqkmD3ftn""",b'Scottmidds_',[],"Plymouth, UK",184,0,0
2022-05-11 12:41:38+00:00,b'@Izuogukingsley_ Rm is bigger than you aje stop capping and famzing .. in europe your not even bigger than liverpool or AC so stop the cap bros',b'PresidentShiima',[],"Abuja, Nigeria",90,0,0
2022-05-11 12:40:27+00:00,"b'Democrats: produce less oil/nat gas, be green. Republicans: produce less make Dems look bad.  US producers:  ok not enough labor now, drill and cap.  The final kick:  export more to Europe. https://t.co/saJiXuFkd6'",b'AndyFanter',[],"Marion, KS",510,0,5
2022-05-11 10:09:02+00:00,"b'@JMGray80 @VillaMad3 @cashy__13 He\xe2\x80\x99s strong, good in the air and a terrific leader, but he just makes too many errors to be considered a top defender for me. His level is lower-mid table, but not good enough for a team challenging for Europe. If he was right footed, he wouldn\xe2\x80\x99t have a single England cap IMO.'",b'villa_woody1000',[],"Gloucester, England",795,0,3
