timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-04-29 22:43:56+00:00,"b""@elle15112470 @mwrddrwg @pau1_br0wn and what of her: Landlord who has increased her rent, Energy company who is charging extortionate rates on her prepaid meter, Supermarket that's increased prices higher than their purchase increase, and whoever else is overcharging  Who is the thief that steals the baby's milk ?""",b'andSandshoes',[],,154,0,2
2022-04-29 22:00:22+00:00,b'Milk is now between 3.60 to 5.00 a gallon where I am from.  Two years ago it was 2.10ish a gallon. At some point the valve will break and people will start to protect food prices.  #inflation #milk #milkprices #food #foodprices #usfood',b'gen_thotslayer',"['inflation', 'milk', 'milkprices', 'food', 'foodprices', 'usfood']",,3,0,0
2022-04-29 21:44:15+00:00,"b'@DocDocwight @PRGuy17 @Nevb1010 An 8-pack of minis was $6 ($4.50 on special) now touted as on special at $7 because apparently the price \xe2\x80\x9cwas\xe2\x80\x9d $9 (which it wasn\xe2\x80\x99t until very recently). I noticed the same for milk, crisps etc. Supermarkets are sneakily increasing prices and then gaslighting us with \xe2\x80\x9cspecials\xe2\x80\x9d'",b'MachineGunMeow',[],"Melbourne, Australia",247,0,0
2022-04-29 21:34:27+00:00,b'@caleb_nwanneka Do you know you can make money through your phone without haggling prices with anyone? Join this class to be among those who will understand this proven steps on how to milk WhatsApp https://t.co/JYPzMuypVO',b'izzy_am01',[],,34,0,0
2022-04-29 21:33:06+00:00,b'@fortunennamdi_ Do you know you can make money through your phone without haggling prices with anyone? Join this class to be among those who will understand this proven steps on how to milk WhatsApp https://t.co/JYPzMuypVO',b'izzy_am01',[],,34,0,0
2022-04-29 20:44:42+00:00,b'@pulte My Son Need Some Milk And Diapers These Milk Prices Are CRAZY!!! 25 dollars for one can of milk and I don\xe2\x80\x99t make that much at sonic they pay me every 2 weeks and bills be coming like crazy whatever you give me will help me out$nlmbtwin1\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f$nlmbtwin1\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/90c3wcUTx0',b'NlmbTwin23',[],"Pine Bluff, AR",3,0,0
2022-04-29 20:35:34+00:00,b'@neasaconneally Centra should rebrand their stores like this in hipster neighborhoods and double the prices of teabags and milk',b'Fergal',[],,4167,0,1
2022-04-29 20:20:17+00:00,b'News: Producer Milk Prices are High! How Long Will they Continue? https://t.co/JHTzMP8KuD',b'dairybusiness',[],"Indianapolis, IN",8220,0,0
2022-04-29 20:05:37+00:00,"b'@ThisIsTheNaya Exactly....we all saw what these shops were charging for hand sanitizers during the Covid19 outbreak. Fast forward, market women also started pricing foodstuffs at high prices.   The avg Ghanaian want to milk  the other person.'",b'AcquahMonneyJnr',[],Kenitra ,3345,0,0
2022-04-29 19:27:02+00:00,"b'@LauraPhoenixLLC @lisaarbogrant @GDFrogperson @TristanSnell Dollar General has increased their prices for real. I stop there to buy milk, coffee creamer, and so many other knick-knacks.'",b'ShunShunni',[],Arkansas~ TN~ TX,291,0,0
2022-04-29 18:53:21+00:00,"b'This!!!!  Murica is no longer the land of milk and honey for some of us. Rent prices are ridiculous, food prices going up\xe2\x80\xa6.we\xe2\x80\x99re also feeling the strain. https://t.co/rpRLJX1HSK'",b'reereethadiva',[],"Brooklyn, NY",862,0,2
2022-04-29 17:59:46+00:00,b'Apr 29 2009 Trade Min bought goods for double the prices Sudani signed contract with company owned by his son for $50 mil for old tea that was only worth $20 mil Bought contaminated milk from China Found $8 mil in expired food in warehouse https://t.co/gHntxrdnCe',b'JoelWing2',[],"Berkeley, CA",10898,0,0
2022-04-29 17:06:14+00:00,b'@CaslonRichard I usually buy Seattle\xe2\x80\x99s Best as Kroger usually has it on sale. It was over 8.00 for a small bag. I bought Folger\xe2\x80\x99s Black Silk. Its crazy how prices have risen. Our milk last week was 3.00. Yesterday it was 4.22. Is there a milk shortage?',b'GinnyMcDonald8',[],"Galveston, TX",9654,0,2
2022-04-29 16:13:18+00:00,"b""I understand that but it's only logically coherent that we accommodate the increase in the prices of inputs which has also been influenced externally. Dairy production firms are not crazy to increase milk prices with no valid reason. https://t.co/VAN09F2EAJ""",b'BabaHensley',[],"Nairobi, Kenya",3264,0,1
2022-04-29 15:44:52+00:00,"b""@PaintballWolf @SandBlastr09 @RickPatrick31 @galich_peter @DonaldJTrumpJr you posted facts that prove you're wrong. What are gas prices today versus two years ago? What is the cost of a gallon of milk? cost of bread? We could go on and on and on.""",b'gravysmackers',[],,5,0,0
2022-04-29 15:31:06+00:00,"b'@ladbible Me whenever the hot water runs out, or I run out of milk. Or if Petrol prices go up. If the weather changes. Etc :)'",b'nahlimusic',[],"London, England",4024,0,0
2022-04-29 15:08:53+00:00,"b""@marksandspencer Why oh why is your 4pnt milk back up to \xc2\xa31.25 from \xc2\xa31.15? Been omitting milk from my @Tesco online shop in favour of yours. So disappointed you've raised the prices #BackToTesco   https://t.co/k325TCJVTT""",b'NEThorpes',['BackToTesco'],"North East, England",49,0,0
2022-04-29 14:41:51+00:00,"b'If anyone wants good news, my own extremely scientific price index (buying the milk every Friday morning for kiddush) indicates milk prices are trending down'",b'RuthGeye',[],CLE/NYC,1347,0,29
2022-04-29 14:34:56+00:00,b'COST OF MILK IN UKRAINE GROWING AMID LOW PURCHASE PRICES \xe2\x80\x93 PROFILE ASSOCIATION https://t.co/3S8Gzt8G1P via @uaopen4business',b'ChrisBrough7',[],"Cirencester, England ",864,0,0
2022-04-29 14:21:47+00:00,b'@AnaCabrera @NuclearVet Now say how this is bad for Biden and talk about milk prices. @brikeilarcnn',b'dtheavenger',[],"NY,CA,FLA #catchmeifyoucan",9236,2,10
2022-04-29 14:02:51+00:00,"b""On my way to someone's driveway to pick up my farm order. Big fat fresh eggs with big fat orange yolks! Grass-fed and finished beef. Bone broth so gelatinous it jiggles. Raw milk. Raw butter. They've had to raise prices due to what gas costs but otherwise the food is flowing!""",b'amidala64',[],"Montclair, NJ",1242,0,1
2022-04-29 13:12:10+00:00,b'Thank heavens I don\xe2\x80\x99t have to think about those ungodly milk prices for a while',b'enamelavenger',[],,26,0,0
