Statistic,Month,Type of Milk,UNIT,VALUE
Milk Sales (Dairy) for Human Consumption,1991M02,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M03,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M04,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M05,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M06,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M07,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M08,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M09,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M10,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M11,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1991M12,Skimmed and Semi-skimmed milk,Million Litres,
Milk Sales (Dairy) for Human Consumption,1992M01,Skimmed and Semi-skimmed milk,Million Litres,6.1
Milk Sales (Dairy) for Human Consumption,1992M02,Skimmed and Semi-skimmed milk,Million Litres,6
Milk Sales (Dairy) for Human Consumption,1992M03,Skimmed and Semi-skimmed milk,Million Litres,7.1
Milk Sales (Dairy) for Human Consumption,1992M04,Skimmed and Semi-skimmed milk,Million Litres,6.4
Milk Sales (Dairy) for Human Consumption,1992M05,Skimmed and Semi-skimmed milk,Million Litres,6.6
Milk Sales (Dairy) for Human Consumption,1992M06,Skimmed and Semi-skimmed milk,Million Litres,6.6
Milk Sales (Dairy) for Human Consumption,1992M07,Skimmed and Semi-skimmed milk,Million Litres,6.3
Milk Sales (Dairy) for Human Consumption,1992M08,Skimmed and Semi-skimmed milk,Million Litres,6.2
